isbn,publication_year,category,book_name,author,price_in_euros,publisher,published_country,language,no_of_pages
9781409156055,2014,crime,the lincoln lawyer,Connelly Michael,5.69,Orion,England,English,449.0
9780753822210,2007,crime,sharp objects,Flynn Gillian,7.99,Orion,England,English,328.0
9780718179823,2015,crime,the strings of murder,Muriel Oscar de,9.26,Penguin Books Ltd,United Kingdom,English,406.0
9781787333963,2022,crime,the long knives,Irvine Welsh,15.31,Vintage Publishing,England,English,400.0
9780008509347,2021,crime,the adventure of the christmas pudding,Agatha Christie,11.99,HarperCollins Publishers,England,English,304.0
9781529386691,2021,crime,still life,Louise Penny,6.3,Hodder & Stoughton,England,English,377.0
9780099472285,2004,crime,out,Kirino Natsuo,8.52,Random House,England,English,520.0
9781787460966,2020,crime,the second sleep,Harris Robert,8.67,Random House,England,English,414.0
9780857503633,2020,crime,blue moon,Child Lee,7.99,Transworld,England,English,472.0
9780008359430,2022,crime,the jigsaw man,Matheson Nadine,5.37,HarperCollins Publishers,England,English,457.0
9780008536817,2022,crime,babysitter,Carol Joyce Oates,15.31,HarperCollins Publishers,England,English,431.0
9781405293181,2019,crime,a good girl's guide to murder,Holly Jackson,7.99,HarperCollins Publishers,England,English,432.0
9780008495381,2022,crime,double or nothing,Kim Sherwood,15.99,HarperCollins Publishers,England,English,400.0
9781473207875,2020,crime,false value,Aaronovitch Ben,6.3,Orion,England,English,404.0
9781473207837,2019,crime,lies sleeping,Aaronovitch Ben,5.69,Orion,England,English,406.0
9781846975950,2022,crime,the edinburgh skating club,Michelle Sloan,9.67,Birlinn Ltd,Scotland,English,272.0
9781444758993,2014,crime,red rising,Brown Pierce,6.99,Hodder & Stoughton,England,English,382.0
9780241533994,2021,crime,the whistling,Netley Rebecca,12.99,Penguin Books Ltd,United Kingdom,English,376.0
9781683692515,2020,crime,the southern book club's guide to slaying vampires,Grady Hendrix,10.99,Quirk Books,Pennsylvania,English,424.0
9781401603977,2022,crime,the return of sherlock holmes,Arthur Conan Doyle,11.99,Harper Muse,Tennessee,English,416.0
9781399803106,2022,crime,slough house,Herron Mick,7.99,John Murray Press,England,English,309.0
9781408716403,2022,crime,the three dahlias,Katy Watson,11.63,"Little, Brown",England,English,384.0
9780330536301,2011,crime,american psycho,Bret Easton Ellis,8.4,Pan Macmillan,England,English,384.0
9780552772440,2007,crime,one good turn,Atkinson Kate,8.35,Transworld,England,English,526.0
9781529157840,2022,crime,a fatal crossing,Hindle Tom,8.5,Cornerstone,England,English,400.0
9781529342413,2022,crime,the judge's list,Grisham John,7.99,Hodder & Stoughton,England,English,373.0
9781409198734,2022,crime,the accomplice,Cavanagh Steve,10.54,Orion,England,English,323.0
9781399803052,2022,crime,slow horses,Herron Mick,7.99,John Murray Press,England,English,336.0
9781409198345,2022,crime,the dark,Bolton Sharon,11.63,Orion,England,English,447.0
9781787477605,2022,crime,the midnight hour,Elly Griffiths,7.99,Quercus Publishing,England,English,345.0
9781529420647,2022,crime,"truly, darkly, deeply",Selman Victoria,11.63,Quercus Publishing,England,English,352.0
9781529157017,2022,crime,the whispers,Heidi Perks,7.99,Cornerstone,United Kingdom,English,396.0
9781787301740,2022,crime,confidence,Denise Mina,12.53,Random House,England,English,291.0
9780008384982,2022,crime,the paris apartment,Foley Lucy,11.99,HarperCollins Publishers,England,English,410.0
9781838775261,2022,crime,the whistleblower,Peston Robert,8.5,Bonnier Publishing Fiction,England,English,425.0
9781782277453,2021,crime,the village of eight graves,Seishi Yokomizo,8.21,Steerforth Press,England,English,320.0
9780715654514,2022,crime,the spirit engineer,A J West,8.67,Duckworth Books,England,English,304.0
9781398508354,2022,crime,the it girl,Ruth Ware,10.71,Simon & Schuster UK,England,English,422.0
9781914585128,2022,crime,little drummer,Dahl Kjell Ola,7.99,Orenda Books,England,English,277.0
9781838774844,2022,crime,a three dog problem,Bennett J S,8.5,Bonnier Publishing Fiction,England,English,288.0
9780241610596,2022,crime,the butcher and the wren,Alaina Urquhart,15.31,Penguin Books Ltd,England,English,400.0
9780008325602,2022,crime,the royal secret,Andrew Taylor,7.99,HarperCollins Publishers,England,English,468.0
9780241439074,2022,crime,tokyo express,Matsumoto Seicho,10.18,Penguin Books Ltd,England,English,256.0
9781838774349,2022,crime,death in blitz city,David Young,8.5,Bonnier Publishing Fiction,England,English,375.0
9780008462413,2022,crime,one of the girls,Clarke Lucy,7.99,HarperCollins Publishers,England,English,434.0
9781838931353,2022,crime,maror,Lavie Tidhar,13.99,Head of Zeus,England,English,516.0
9781529176674,2022,crime,london bridge is falling down,Christopher Fowler,8.99,Transworld,England,English,434.0
9781529079739,2022,crime,state of terror,Clinton Hillary Rodham,7.99,Pan Macmillan,England,English,494.0
9781529357677,2022,crime,other people's clothes,Calla Henkel,7.99,Hodder & Stoughton,England,English,320.0
9781529406030,2022,crime,the therapist,Flood Helene,7.99,Quercus Publishing,England,English,333.0
9780008192426,2022,crime,the life of crime,Edwards Martin,20.2,HarperCollins Publishers,England,English,800.0
9780552160964,2014,crime,i am pilgrim,Hayes Terry,8.99,Transworld,England,English,891.0
9780241493656,2022,crime,outside,Jnasson Ragnar,12.53,Penguin Books Ltd,United Kingdom,English,342.0
9781529073348,2022,crime,riccardino,Andrea Camilleri,7.99,Pan Macmillan,England,English,293.0
9780008474317,2022,crime,over my dead body,Archer Jeffrey,7.99,HarperCollins Publishers,England,English,363.0
9780241418710,2022,crime,the blackbird,Tim Weaver,12.53,Penguin Books Ltd,United Kingdom,English,439.0
9781787333499,2022,crime,with a mind to kill,Anthony Horowitz,9.26,Vintage Publishing,England,English,288.0
9780008196615,2022,crime,at bertram's hotel,Agatha Christie,6.99,HarperCollins Publishers,England,English,265.0
9780008196646,2022,crime,miss marple's final cases,Agatha Christie,6.99,HarperCollins Publishers,England,English,178.0
9780008524180,2022,crime,the serial killer's daughter,Alice Hunter,7.99,HarperCollins Publishers,England,English,393.0
9780241621905,2022,crime,the secret history,Donna Tartt,15.58,Penguin Books Ltd,England,English,640.0
9781471196645,2022,crime,iced,Felix Francis,7.48,Simon & Schuster UK,England,English,369.0
9781529102376,2022,crime,book of night,Black Holly,12.99,Random House,England,English,306.0
9781787477650,2021,crime,the postscript murders,Elly Griffiths,6.3,Quercus Publishing,England,English,344.0
9781787477841,2021,crime,the night hawks,Elly Griffiths,6.3,Quercus Publishing,England,English,390.0
9781472154668,2019,crime,where the crawdads sing,Delia Owens,8.52,"Little, Brown",England,English,370.0
9780349144108,2021,crime,how to raise an elephant,Alexander McCall Smith,5.99,"Little, Brown",England,English,248.0
9780008509354,2021,crime,the tuesday club murders,Agatha Christie,11.99,HarperCollins Publishers,England,English,240.0
9780008470937,2021,crime,midsummer mysteries,Agatha Christie,11.99,HarperCollins Publishers,England,English,400.0
9781846975769,2021,crime,nineteen eighty-four,George Orwell,6.3,Birlinn Ltd,Scotland,English,368.0
9781471197574,2022,crime,genesis,Carter Chris,11.69,Simon & Schuster UK,England,English,526.0
9781408714454,2022,crime,a song of comfortable chairs,Alexander McCall Smith,13.99,"Little, Brown",England,English,230.0
9781785656477,2017,crime,if we were villains,L M Rio,8.5,Titan Books,England,English,428.0
9780749028350,2022,crime,murder on the oceanic,Allen Conrad,8.67,Allison & Busby,England,English,279.0
9781616955847,2015,crime,the last voice you hear,Herron Mick,8.46,Penguin Random House Group,New York (State),English,298.0
9781784754686,2015,crime,a christmas party,Georgette Heyer,7.99,Random House,England,English,379.0
9780241481745,2020,crime,the cypher files,Chassapakis Dimitris,10.33,Penguin Books Ltd,England,English,112.0
